0.01458 16
0.633392 26
0.681706 37
1.97381 40
4.7124 47
4.92681 50
7.10225 58
8.33656 60
8.81346 63
14.5159 83
14.542 97
15.7416 102
19.7885 106
21.6557 110
30.1446 115
33.1356 127
52.7426 133
55.9317 137
58.1814 138
61.9837 140
65.9799 142
67.7162 144
79.5289 150
93.8841 155
103.628 159
115.549 169
129.731 177
329.864 179
467.621 181
574.331 183
768.461 186
773.106 189
840.148 192
916.162 198
1107.93 202
1279.11 205
1627.31 210
1798.54 214
3268.76 216
3278.79 218
3289.71 221
3301.29 228
3306.4 231
3312.98 238
3323.68 240
3339.45 246
3349.49 252
3355.71 272
3371.76 276
3373.49 278
3384.02 282
3389.53 286
3395.41 289
3406.14 294
3428.65 295
3440.17 296
3538.68 302

