0.0311401 13
0.27222 27
0.375663 30
0.834117 72
0.862768 86
1.21648 89
1.42317 108
1.89208 118
2.14471 121
2.51864 129
3.54214 134
4.47789 138
5.70592 142
6.00522 145
6.35395 147
6.72583 149
7.34722 159
13.4022 160
13.8893 169
14.7501 170
15.9684 173
16.4205 175
57.1458 184
58.3964 185
190.687 189
231.01 217
235.178 226
250.583 233
360.774 234
927.587 235
1248.8 243
1894.61 244
2138.25 247
2523.23 248
3259.22 258
3268.46 268
3277.73 274
3287.46 276
3297.75 279
3313.19 281
3323.14 282
3329.26 283
3339.14 284
3349.27 290
3362.71 291
3452.8 295
3458.66 298
3490.53 299
3501.23 300
3515.28 301
3525.74 304
3539.95 305
3601.73 306

